Datetime,Datetime,Valeur,working day
2019-12-12 12:45:00,2019-12-12 12:45:00,18.27,True
2019-12-12 13:00:00,2019-12-12 13:00:00,15.33,True
2019-12-12 13:15:00,2019-12-12 13:15:00,19.53,True
2019-12-12 13:30:00,2019-12-12 13:30:00,17.22,True
2019-12-12 13:45:00,2019-12-12 13:45:00,17.01,True
2019-12-12 14:00:00,2019-12-12 14:00:00,10.29,True
2019-12-12 14:15:00,2019-12-12 14:15:00,9.87,True
2019-12-12 14:30:00,2019-12-12 14:30:00,9.45,True
2019-12-12 14:45:00,2019-12-12 14:45:00,9.45,True
2019-12-12 15:00:00,2019-12-12 15:00:00,9.24,True
2019-12-12 15:15:00,2019-12-12 15:15:00,9.45,True
2019-12-12 15:30:00,2019-12-12 15:30:00,9.66,True
2019-12-12 15:45:00,2019-12-12 15:45:00,9.24,True
2019-12-12 16:00:00,2019-12-12 16:00:00,9.45,True
2019-12-12 16:15:00,2019-12-12 16:15:00,9.87,True
2019-12-12 16:30:00,2019-12-12 16:30:00,10.08,True
2019-12-12 16:45:00,2019-12-12 16:45:00,10.5,True
2019-12-12 17:00:00,2019-12-12 17:00:00,11.34,True
2019-12-12 17:15:00,2019-12-12 17:15:00,9.87,True
2019-12-12 17:30:00,2019-12-12 17:30:00,9.03,True
2019-12-12 17:45:00,2019-12-12 17:45:00,8.82,True
2019-12-12 18:00:00,2019-12-12 18:00:00,8.82,True
2019-12-12 18:15:00,2019-12-12 18:15:00,8.4,True
2019-12-12 18:30:00,2019-12-12 18:30:00,8.19,True
2019-12-12 18:45:00,2019-12-12 18:45:00,7.77,True
2019-12-12 19:00:00,2019-12-12 19:00:00,7.98,True
2019-12-12 19:15:00,2019-12-12 19:15:00,7.56,True
2019-12-12 19:30:00,2019-12-12 19:30:00,7.98,True
2019-12-12 19:45:00,2019-12-12 19:45:00,7.56,True
2019-12-12 20:00:00,2019-12-12 20:00:00,7.14,True
2019-12-12 20:15:00,2019-12-12 20:15:00,7.14,True
2019-12-12 20:30:00,2019-12-12 20:30:00,7.14,True
2019-12-12 20:45:00,2019-12-12 20:45:00,6.51,True
2019-12-12 21:00:00,2019-12-12 21:00:00,6.51,True
2019-12-12 21:15:00,2019-12-12 21:15:00,6.72,True
2019-12-12 21:30:00,2019-12-12 21:30:00,6.72,True
2019-12-12 21:45:00,2019-12-12 21:45:00,6.72,True
2019-12-12 22:00:00,2019-12-12 22:00:00,5.88,True
2019-12-12 22:15:00,2019-12-12 22:15:00,5.25,True
2019-12-12 22:30:00,2019-12-12 22:30:00,5.46,True
2019-12-12 22:45:00,2019-12-12 22:45:00,5.25,True
2019-12-12 23:00:00,2019-12-12 23:00:00,5.04,True
2019-12-12 23:15:00,2019-12-12 23:15:00,4.62,True
2019-12-12 23:30:00,2019-12-12 23:30:00,4.62,True
2019-12-12 23:45:00,2019-12-12 23:45:00,4.62,True
2019-12-13 00:00:00,2019-12-13 00:00:00,5.04,True
2019-12-13 00:15:00,2019-12-13 00:15:00,4.62,True
2019-12-13 00:30:00,2019-12-13 00:30:00,5.04,True
2019-12-13 00:45:00,2019-12-13 00:45:00,4.62,True
2019-12-13 01:00:00,2019-12-13 01:00:00,4.83,True
2019-12-13 01:15:00,2019-12-13 01:15:00,5.04,True
2019-12-13 01:30:00,2019-12-13 01:30:00,4.41,True
2019-12-13 01:45:00,2019-12-13 01:45:00,4.83,True
2019-12-13 02:00:00,2019-12-13 02:00:00,4.62,True
2019-12-13 02:15:00,2019-12-13 02:15:00,4.62,True
