Date,Valeur,Datetime,working day
2020-09-06 14:30:00,5.95,2020-09-06 14:30:00,False
2020-09-06 14:45:00,5.95,2020-09-06 14:45:00,False
2020-09-06 15:00:00,7.0,2020-09-06 15:00:00,False
2020-09-06 15:15:00,7.0,2020-09-06 15:15:00,False
2020-09-06 15:30:00,6.65,2020-09-06 15:30:00,False
2020-09-06 15:45:00,5.95,2020-09-06 15:45:00,False
2020-09-06 16:00:00,5.6,2020-09-06 16:00:00,False
2020-09-06 16:15:00,3.85,2020-09-06 16:15:00,False
2020-09-06 16:30:00,3.5,2020-09-06 16:30:00,False
2020-09-06 16:45:00,2.8,2020-09-06 16:45:00,False
2020-09-06 17:00:00,3.15,2020-09-06 17:00:00,False
2020-09-06 17:15:00,3.15,2020-09-06 17:15:00,False
2020-09-06 17:30:00,3.15,2020-09-06 17:30:00,False
2020-09-06 17:45:00,3.15,2020-09-06 17:45:00,False
2020-09-06 18:00:00,3.15,2020-09-06 18:00:00,False
2020-09-06 18:15:00,2.8,2020-09-06 18:15:00,False
2020-09-06 18:30:00,3.85,2020-09-06 18:30:00,False
2020-09-06 18:45:00,3.5,2020-09-06 18:45:00,False
2020-09-06 19:00:00,3.15,2020-09-06 19:00:00,False
2020-09-06 19:15:00,2.8,2020-09-06 19:15:00,False
2020-09-06 19:30:00,3.5,2020-09-06 19:30:00,False
2020-09-06 19:45:00,2.8,2020-09-06 19:45:00,False
2020-09-06 20:00:00,3.15,2020-09-06 20:00:00,False
2020-09-06 20:15:00,3.15,2020-09-06 20:15:00,False
2020-09-06 20:30:00,2.8,2020-09-06 20:30:00,False
2020-09-06 20:45:00,3.5,2020-09-06 20:45:00,False
2020-09-06 21:00:00,3.15,2020-09-06 21:00:00,False
2020-09-06 21:15:00,3.15,2020-09-06 21:15:00,False
2020-09-06 21:30:00,3.15,2020-09-06 21:30:00,False
2020-09-06 21:45:00,2.8,2020-09-06 21:45:00,False
2020-09-06 22:00:00,3.15,2020-09-06 22:00:00,False
2020-09-06 22:15:00,3.15,2020-09-06 22:15:00,False
2020-09-06 22:30:00,3.5,2020-09-06 22:30:00,False
2020-09-06 22:45:00,3.15,2020-09-06 22:45:00,False
2020-09-06 23:00:00,3.5,2020-09-06 23:00:00,False
2020-09-06 23:15:00,3.15,2020-09-06 23:15:00,False
2020-09-06 23:30:00,3.15,2020-09-06 23:30:00,False
2020-09-06 23:45:00,3.5,2020-09-06 23:45:00,False
2020-10-01 00:00:00,5.95,2020-10-01 00:00:00,True
2020-10-01 00:15:00,4.9,2020-10-01 00:15:00,True
2020-10-01 00:30:00,3.5,2020-10-01 00:30:00,True
2020-10-01 00:45:00,3.5,2020-10-01 00:45:00,True
2020-10-01 01:00:00,3.85,2020-10-01 01:00:00,True
2020-10-01 01:15:00,4.55,2020-10-01 01:15:00,True
2020-10-01 01:30:00,4.9,2020-10-01 01:30:00,True
2020-10-01 01:45:00,4.2,2020-10-01 01:45:00,True
2020-10-01 02:00:00,3.15,2020-10-01 02:00:00,True
