Datetime,Valeur
2019-11-29 09:45:00,12.18
2019-11-29 10:00:00,13.86
2019-11-29 10:15:00,12.81
2019-11-29 10:30:00,14.07
2019-11-29 10:45:00,16.59
2019-11-29 11:00:00,19.53
2019-11-29 11:15:00,12.18
2019-11-29 11:30:00,12.6
2019-11-29 11:45:00,17.22
2019-11-29 12:00:00,13.02
2019-11-29 12:15:00,14.7
2019-11-29 12:30:00,19.32
2019-11-29 12:45:00,15.12
2019-11-29 13:00:00,21.63
2019-11-29 13:15:00,21.42
2019-11-29 13:30:00,19.53
2019-11-29 13:45:00,18.06
2019-11-29 14:00:00,16.59
2019-11-29 14:15:00,9.87
2019-11-29 14:30:00,9.87
2019-11-29 14:45:00,10.29
2019-11-29 15:00:00,10.08
2019-11-29 15:15:00,9.45
2019-11-29 15:30:00,9.24
2019-11-29 15:45:00,10.29
2019-11-29 16:00:00,10.5
2019-11-29 16:15:00,9.45
2019-11-29 16:30:00,9.45
2019-11-29 16:45:00,9.87
2019-11-29 17:00:00,9.24
2019-11-29 17:15:00,9.24
2019-11-29 17:30:00,8.82
2019-11-29 17:45:00,8.19
2019-11-29 18:00:00,7.77
2019-11-29 18:15:00,7.14
2019-11-29 18:30:00,6.51
2019-11-29 18:45:00,6.51
2019-11-29 19:00:00,6.3
2019-11-29 19:15:00,5.25
2019-11-29 19:30:00,5.25
2019-11-29 19:45:00,5.04
2019-11-29 20:00:00,5.04
2019-11-29 20:15:00,4.62
2019-11-29 20:30:00,4.83
2019-11-29 20:45:00,4.62
2019-11-29 21:00:00,4.83
2019-11-29 21:15:00,4.83
2019-11-29 21:30:00,4.62
2019-11-29 21:45:00,4.62
2019-11-29 22:00:00,4.83
2019-11-29 22:15:00,4.83
2019-11-29 22:30:00,4.62
2019-11-29 22:45:00,4.62
2019-11-29 23:00:00,3.78
2019-11-29 23:15:00,3.78
2019-11-29 23:30:00,3.78
2019-11-29 23:45:00,3.57
2019-11-30 00:00:00,3.57
2019-11-30 00:15:00,3.78
2019-11-30 00:30:00,3.99
2019-11-30 00:45:00,3.78
2019-11-30 01:00:00,4.2
2019-11-30 01:15:00,3.78
2019-11-30 01:30:00,3.57
2019-11-30 01:45:00,3.78
2019-11-30 02:00:00,3.78
2019-11-30 02:15:00,3.78
2019-11-30 02:30:00,3.99
2019-11-30 02:45:00,3.99
2019-11-30 03:00:00,3.78
2019-11-30 03:15:00,3.78
2019-11-30 03:30:00,3.99
2019-11-30 03:45:00,3.57
2019-11-30 04:00:00,3.78
2019-11-30 04:15:00,3.57
2019-11-30 04:30:00,3.78
2019-11-30 04:45:00,3.57
2019-11-30 05:00:00,3.78
2019-11-30 05:15:00,3.78
2019-11-30 05:30:00,3.99
2019-11-30 05:45:00,3.57
2019-11-30 06:00:00,4.2
2019-11-30 06:15:00,3.57
2019-11-30 06:30:00,4.41
2019-11-30 06:45:00,4.62
2019-11-30 07:00:00,4.83
2019-11-30 07:15:00,4.62
2019-11-30 07:30:00,4.62
