Date,"Forecasted consumption kW"
2019-07-04 09:00:00,17.97336760076447
2019-07-04 09:15:00,18.514384754173957
2019-07-04 09:30:00,18.64684576416175
2019-07-04 09:45:00,19.663063573989334
2019-07-04 10:00:00,20.38034722454593
2019-07-04 10:15:00,21.122063422651735
2019-07-04 10:30:00,21.094884311164975
2019-07-04 10:45:00,22.33612982002178
2019-07-04 11:00:00,22.64700236105736
2019-07-04 11:15:00,22.67845303199304
2019-07-04 11:30:00,22.639797777024967
2019-07-04 11:45:00,22.068218700974697
2019-07-04 12:00:00,23.68122977271331
2019-07-04 12:15:00,23.642294470004494
2019-07-04 12:30:00,23.33502531297131
2019-07-04 12:45:00,23.252867862602443
2019-07-04 13:00:00,23.31413271899257
2019-07-04 13:15:00,22.96763996819911
2019-07-04 13:30:00,23.216270788733773
2019-07-04 13:45:00,22.96278463327971
2019-07-04 14:00:00,22.696728763981074
2019-07-04 14:15:00,22.834535533151215
2019-07-04 14:30:00,22.070401553151456
2019-07-04 14:45:00,21.667418287668077
2019-07-04 15:00:00,20.813235580982557
2019-07-04 15:15:00,20.43860858129435
2019-07-04 15:30:00,20.478998664341546
2019-07-04 15:45:00,19.70090286721505
2019-07-04 16:00:00,19.044062110636936
2019-07-04 16:15:00,19.15504261380491
2019-07-04 16:30:00,18.60225306316702
2019-07-04 16:45:00,18.243731894351907
2019-07-04 17:00:00,16.922044692517428
2019-07-04 17:15:00,16.13096968660932
2019-07-04 17:30:00,16.0291186065674
2019-07-04 17:45:00,15.406717208644318
2019-07-04 18:00:00,14.806996977465008
2019-07-04 18:15:00,14.550980263831724
2019-07-04 18:30:00,13.192858489752833
2019-07-04 18:45:00,12.576323545350025
2019-07-04 19:00:00,12.190478246276832
2019-07-04 19:15:00,11.121266011013068
2019-07-04 19:30:00,11.617723571751903
2019-07-04 19:45:00,10.193406316724065
2019-07-04 20:00:00,10.330026166032955
2019-07-04 20:15:00,9.453343567926954
2019-07-04 20:30:00,8.644137570761696
2019-07-04 20:45:00,8.595050523580394
2019-07-04 21:00:00,8.762186800026647
2019-07-04 21:15:00,8.203841507738991
2019-07-04 21:30:00,7.6200246346271365
2019-07-04 21:45:00,7.854908159369872
2019-07-04 22:00:00,6.904333301560855
