,mae,rmse,B
84,0.38662772229225634,0.6306649882561838,8.0
85,0.4051252675744593,0.6552270879344471,8.0
86,0.39887396321833907,0.6469804152487673,8.0
87,0.3985234845991182,0.6472128320029372,8.0
88,0.39459757718651806,0.645338165737662,8.0
89,0.4042219615931548,0.6588800279096435,8.0
90,0.3950303336593618,0.6473333910884439,8.0
91,0.6844319567542387,1.1065269520151568,9.0
92,0.689685035169324,1.122375149441395,9.0
93,0.6956645686315581,1.1305767922321035,9.0
94,0.6949884160897629,1.127413726017697,9.0
95,0.7423914002461846,1.1792748018155637,9.0
96,0.7295671217781042,1.159713705690858,9.0
97,0.7371424453458035,1.1875911308740976,9.0
98,0.754255262562713,1.209564899998723,9.0
99,0.7439816148186842,1.209082614340979,9.0
100,0.746758000724154,1.2231111133334467,9.0
101,0.29202557680908736,0.44051521563531276,10.0
102,0.29289954054621803,0.44894312796254154,10.0
103,0.2967836102052075,0.4555024342285691,10.0
104,0.30009290790972926,0.46573980790458996,10.0
105,0.3114360138642746,0.47688552819314706,10.0
106,0.31047005788564525,0.4810858873196638,10.0
107,0.31482241287385715,0.48970492107681546,10.0
108,0.32144065104450126,0.5009423404386988,10.0
109,0.31260117127705084,0.4872134780674869,10.0
110,0.3114796044099353,0.48864819355264766,10.0
111,0.2236288203142982,0.36539941273390775,11.0
112,0.22369256029538664,0.3678411648405876,11.0
113,0.2227910465313195,0.36543265453177365,11.0
114,0.2268861949816929,0.3688695840120299,11.0
115,0.22773703728035227,0.37109315197921483,11.0
116,0.23195773645057471,0.37646630100515355,11.0
117,0.23459098170969256,0.38221355900005616,11.0
118,0.23195804830583078,0.37794478952133126,11.0
119,0.2354671564641242,0.3829729228480267,11.0
120,0.24057425747377256,0.39293318349967654,11.0
121,0.18270446368324939,0.28997762396278,12.0
122,0.18473071460996815,0.291744088054688,12.0
123,0.18846230883039355,0.2969928090452922,12.0
124,0.18539738585094004,0.294818365732613,12.0
125,0.18509230464020712,0.3002751409335766,12.0
126,0.18413276293336142,0.2954397709278658,12.0
127,0.18701226049455205,0.3014706134341627,12.0
128,0.18671438455604875,0.3023624890088628,12.0
129,0.18603922783333263,0.30405869254475165,12.0
130,0.18473456178811898,0.3015240339956213,12.0
131,0.4705138881837015,0.737904242402022,13.0
132,0.4795989365830844,0.7419476998315542,13.0
133,0.5033003228380244,0.76404021599922,13.0
134,0.5084983568940183,0.7683885817186964,13.0
135,0.5091263182712162,0.7709024595680549,13.0
136,0.5030672990115307,0.7643629140171813,13.0
137,0.5143901563861191,0.7721867056424607,13.0
138,0.5142892997028714,0.7764417502853352,13.0
139,0.5160804121038618,0.7773326026910472,13.0
140,0.5329439585479676,0.793130971057899,13.0
141,0.6124811146901166,0.8990146822182743,14.0
142,0.6370456838089782,0.9337279600823994,14.0
143,0.664535307991413,0.976245539045071,14.0
144,0.6677420157797287,0.9821295153552991,14.0
145,0.6742491140478687,0.993497089262086,14.0
146,0.6831501470388627,1.0042935285101038,14.0
147,0.6887335098625854,1.0063701608486413,14.0
148,0.6890087372599933,1.0096814072335207,14.0
149,0.6926225264377855,1.016927836913106,14.0
150,0.6986010153711801,1.0302784236759128,14.0
151,1.098696847802199,1.5434261431034237,15.0
152,1.1159800839306493,1.5904862933039345,15.0
153,1.1238745591357093,1.6181839537255192,15.0
154,1.1832141932963243,1.7045523881237628,15.0
155,1.1325984231131572,1.6477819655453572,15.0
156,1.1590658983545565,1.6827895150442116,15.0
157,1.1692329726676918,1.6855004921529224,15.0
158,1.1576450551452842,1.674636573369737,15.0
159,1.1684130775891048,1.6805864140556657,15.0
160,1.1804905585227037,1.7006303635461666,15.0
161,0.336510642701304,0.49155999685185686,16.0
162,0.34375959108214393,0.4998503816648096,16.0
163,0.3462260833019615,0.5028365478631021,16.0
164,0.3514444234973024,0.5074882727980736,16.0
165,0.3542945821363215,0.5119603948322883,16.0
166,0.3569505597163057,0.5166418290185067,16.0
167,0.3606011038941805,0.5204316150926349,16.0
168,0.3574931972590309,0.5191093027436264,16.0
169,0.36458189924180484,0.5282227955973757,16.0
170,0.36270144217307443,0.5274093941311555,16.0
171,0.39979116940018444,0.5565562657634742,17.0
172,0.39619803294853584,0.5493272136793004,17.0
173,0.4041788582064466,0.5618020061830291,17.0
174,0.4041027400461979,0.5625294963818871,17.0
175,0.40750889753597425,0.5671262456100935,17.0
176,0.4118016030505354,0.5728466297751551,17.0
177,0.4140369846963379,0.5764662340844003,17.0
178,0.4162902244093512,0.5776942765412657,17.0
179,0.4195034520161777,0.5841779178071845,17.0
180,0.41749923226931956,0.5832489927495546,17.0
181,1.0146305543276832,1.79993044482921,18.0
182,1.0288048478491953,1.811177730539757,18.0
183,1.038620093813684,1.839354057319622,18.0
184,1.033352668347902,1.8444338939080087,18.0
185,1.0513591154693203,1.851617052238431,18.0
186,1.0596692321944734,1.8566050592554069,18.0
187,1.0644411542446721,1.8586639812106693,18.0
188,1.0604464643423395,1.8710975037681457,18.0
189,1.065485202637751,1.8767385369671858,18.0
190,1.060955129116558,1.8702365703736028,18.0
191,0.6484117723495293,0.8053390614023128,19.0
192,0.6785443923416435,0.841366603711366,19.0
193,0.6907735265768182,0.8529955909121625,19.0
194,0.6854092198363626,0.8510353075110555,19.0
195,0.6767808035474239,0.8404691591217394,19.0
196,0.6973799046315776,0.8619929348284339,19.0
197,0.709777194956564,0.87724075046159,19.0
198,0.7275516585518681,0.8955541945389711,19.0
199,0.712460648299881,0.8802155087297262,19.0
200,0.7119319903362811,0.8826043451844008,19.0
201,0.4171660822749631,0.6099776167369119,20.0
202,0.434066577778824,0.6422223271919628,20.0
203,0.4372288035959392,0.6483317025754421,20.0
204,0.4425393824221049,0.6582150683589358,20.0
205,0.44436675177404966,0.6660593354935762,20.0
206,0.4487998327095017,0.6752755582275869,20.0
207,0.4599827049878985,0.6966863389075485,20.0
208,0.4574153924122716,0.6908741183837105,20.0
209,0.4595219638695555,0.6893746018389137,20.0
210,0.4568148242183928,0.6875318867421761,20.0
211,0.12417973805869664,0.23095943739505503,21.0
212,0.11836289913022903,0.22452235670206389,21.0
213,0.12149356025526,0.22683398615116496,21.0
214,0.11961436197394076,0.22450599000329344,21.0
215,0.11880318760109601,0.22332440033631304,21.0
216,0.11743344997154703,0.22346554937085925,21.0
217,0.11984948212447248,0.22460108642440813,21.0
218,0.12112852514393392,0.22566558016624774,21.0
219,0.12199282001989571,0.22539650663986754,21.0
220,0.11896396188641514,0.22647484163050757,21.0
221,0.4186079566246106,0.762345935605496,22.0
222,0.43509200312350227,0.7774565072943408,22.0
223,0.4354420366699062,0.783960661712369,22.0
224,0.44296887996550505,0.7893667242598011,22.0
225,0.4543998123131973,0.8016203988082811,22.0
226,0.44218907709121247,0.7949536941470186,22.0
227,0.4597529480558332,0.8087306703203245,22.0
228,0.46714614010595396,0.8148235611729319,22.0
229,0.47938832940154663,0.8269381436766448,22.0
230,0.4756400747092063,0.8225427867963451,22.0
231,0.3609663528835966,0.5041442680997444,23.0
232,0.3531435749183254,0.49998941789975354,23.0
233,0.3619998634837284,0.507991178815324,23.0
234,0.3758516277176307,0.5197325385258396,23.0
235,0.3811220115058646,0.5235091526293415,23.0
